WormBaseID	SRR28479535	SRR28479537	SRR28479531	SRR28479538	SRR28479526	SRR28479528	SRR28479530	SRR28479534	SRR28479529	SRR28479539	SRR28479525	SRR28479532	SRR28479533	SRR28479536	SRR28479527	SRR28479540
WBGene00021641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24002.32723489179	0.0	0.0	11968.152556370738
WBGene00007610	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00021494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9637.027589607267	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00009213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00018042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00005712	0.0	20408.63596460328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7654.51565648538	9357.22912377137
WBGene00014052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11430.18964763954	0.0	0.0	0.0	0.0	12372.265011110834	0.0
WBGene00000012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00013009	10467.800597296911	0.0	0.0	11769.614593771716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00077772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00004349	0.0	0.0	7068.622545710058	0.0	7070.414736471374	3853.078447851456	14003.836728793258	3623.9395024526943	7196.745587683092	0.0	3506.025317112407	0.0	0.0	0.0	3160.977013224554	0.0
WBGene00022584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8649.2118840826	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00015560	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00008051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00007963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7511.747314415549	0.0	0.0
WBGene00013280	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13636.027711431225	0.0	0.0	0.0	0.0	0.0
WBGene00022592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00000246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00013352	0.0	0.0	0.0	36677.229078682554	19138.230128635758	0.0	0.0	0.0	0.0	14996.768887422577	0.0	0.0	0.0	0.0	16988.40632908196	37095.370613884195
WBGene00015537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00009969	0.0	0.0	88501.68202342442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
