Gene_ID	SRR28479526	SRR28479525
WBGeneC53C11	124.00613048000001	0.0
WBGeneC53C7	51.322415505	0.0
WBGeneC53C9	0.0	0.0
WBGeneC53D5	121.4109	0.0
WBGeneC53D6	227.58	437.35485
WBGeneC53H9	3736.289112675	1961.27
WBGeneC54A12	0.0	63.1125
WBGeneC54C6	52.6436	149.725
WBGeneC54C8	0.0	0.0
WBGeneC54D1	128.572	30.3341
WBGeneC54D10	0.0	0.0
WBGeneC54D2	15.81689112398	82.6517
WBGeneC54E10	0.0	607.3213
WBGeneC54E4	175.827	1218.339
WBGeneC54F6	52.1366	0.0
WBGeneC54G10	82.1955	77.8124
WBGeneC54G4	0.0	481.87300000000005
WBGeneC54G6	0.0	0.0
WBGeneC54G7	40.956160000000004	122.131100673666
WBGeneC54H2	478.75	91.2678
WBGeneC55A1	0.0	0.0
WBGeneC55A6	158.246941	205.3494
WBGeneC55B6	111.676	164.1779
WBGeneC55B7	1043.1359	567.468
WBGeneC55C2	0.0	0.0
WBGeneC55C3	0.0	0.0
WBGeneC55F2	0.0	0.0
WBGeneC55H1	0.0	0.0
WBGeneC56A3	143.025	413.782
WBGeneC56C10	1561.8879	1205.0829999999999
WBGeneC56E10	0.0	0.0
WBGeneC56E6	0.0	48.9778
WBGeneC56G2	459.76320000000004	189.8468
WBGeneC56G3	0.0	0.0
WBGeneC56G7	0.0	690.208
WBGeneCC4	0.0	0.0
WBGeneCC8	0.0	82.024862
WBGeneCD4	332.3419	117.18
WBGeneCE7X_3	0.0	0.0
WBGeneD1005	30.3308	28.6748
WBGeneD1007	5345.474	2221.8892
WBGeneD1009	92.4378	69.3578
WBGeneD1014	325.906	103.718
WBGeneD1022	227.58172	258.205
WBGeneD1025	225.248	402.637
WBGeneD1037	615.8909000000001	499.84899999999993
WBGeneD1043	0.0	69.1551
WBGeneD1044	259.262	27.165
WBGeneD1046	132.84449999999998	324.5633
WBGeneD1053	492.20099999999996	126.224
WBGeneD1054	401.052	739.1519000000001
WBGeneD1065	0.0	0.0
WBGeneD1069	1110.562	653.796
WBGeneD1073	0.0	0.0
WBGeneD1079	0.0	0.0
WBGeneD1081	272.624	293.22760000000005
WBGeneD1086	0.0	0.0
WBGeneD2005	193.1966	104.6571
WBGeneD2007	236.753	150.128
WBGeneD2013	288.5856	370.299
WBGeneD2021	0.0	24.777
WBGeneD2023	209.5217	444.798
WBGeneD2024	294.931	140.174
WBGeneD2030	98.7739	890.2016
WBGeneD2045	437.0329037	364.0599102393
WBGeneD2062	0.0	0.0
WBGeneD2063	0.0	0.0
WBGeneD2085	238.9949706603	221.983104905
WBGeneD2089	212.3743	444.791
WBGeneD2092	108.3462	303.6861
WBGeneD2096	808.6187	395.918
WBGeneDC2	241.503	167.204
WBGeneDH11	497.1749	143.303
WBGeneDY3	340.935408444	347.88731179900003
WBGeneE01A2	1115.6511	850.433
WBGeneE01B7	39.83656302	0.0
WBGeneE01F3	76.2371	0.0
WBGeneE01G4	325.2739	0.0
WBGeneE01G6	127.088	20.0604
WBGeneE01H11	49.2884	0.0
WBGeneE02A10	238.8	75.72
WBGeneE02C12	0.0	0.0
WBGeneE02D9	186.456	88.8357
WBGeneE02H1	149.37709999999998	523.0223
WBGeneE02H4	253.5059	49.594301022729994
WBGeneE02H9	0.0	67.9975
WBGeneE03A3	47.6131304644	401.3
WBGeneE03D2	0.0	0.0
WBGeneE03E2	0.0	0.0
WBGeneE03G2	0.0	0.0
WBGeneE03H12	0.0	0.0
WBGeneE03H4	0.0	0.0
WBGeneE04A4	2727.59	2456.6615
WBGeneE04D5	106.6043	0.0
WBGeneE04F6	75.363	339.4040416707
WBGeneEEED8	1475.4806999999998	1654.2367
WBGeneEGAP1	0.0	0.0
WBGeneEGAP2	109.022	0.0
WBGeneEGAP4	0.0	0.0
WBGeneEGAP5	0.0	0.0
